Názov knižnice;Typ knižnice;Stav knižnice (F/N/S/Z);Adresa;;;Okres;Kraj;Štatutárny zástupca;Telefón knihovníka/metodika;Web;E-mail inštitúcie
Obecná knižnica Ľubotín;obecná NZ;Fungujúca;Na rovni 302/12;065 41;Ľubotín;Stará Ľubovňa;Prešovský;Ing. Jozef Havrila;524283901;;obeclubotin@stonline.sk
Obecná knižnica Baňa;obecná NZ;Stagnujúca;Baňa 47;091 01;Baňa;Stropkov;Prešovský;František Šlang;903374242;;ocubana@capur.net
Obecná knižnica Ruskovce;obecná NZ;Fungujúca;Ruskovce 1;956 54;Ruskovce;Bánovce nad Bebravou;Trenčiansky;Bc. Jaroslav Mlynek;903492454;;obecruskovce@pbi.sk
Obecná knižnica Jedľové Kostoľany;obecná NZ;Fungujúca;Jedľové Kostoľany;951 96;Jedľové Kostoľany;Zlaté Moravce;Nitriansky;Dušan Kazimír;376338318;;obecjk@tekov.sk
Obecná knižnica Vidiná;obecná NZ;Fungujúca;Športová 1;985 59;Vidiná;Lučenec;Banskobystrický;Jozef Kucej;474370102;;obec@vidina.sk
Knižnica Villebalda Dancziho Strekov;obecná NZ;Fungujúca;Blatná 1036;941 37;Strekov;Nové Zámky;Nitriansky;Ján Téglás;356497560;;ocu@strekov.sk
Obecná knižnica Dubodiel;obecná NZ;Fungujúca;Dubodiel 33;913 23;Dubodiel;Trenčín;Trenčiansky;Božena Richtárechová;326596821;;obecnyurad@dubodiel.sk
Obecná knižnica Studenec;obecná NZ;Zrušená;Studenec 3;053 04;Studenec;Levoča;Prešovský;Imrich Sivák;534541213;;obecstudenec@gmail.com
Obecná knižnica Jacovce;obecná NZ;Fungujúca;Školská 5;956 21;Jacovce;Topoľčany;Nitriansky;PhDr. Imrich Hermann;908600063;;sekretariat@obecjacovce.sk
Obecná knižnica Novoť;obecná NZ;Fungujúca;Novoť 285;029 55;Novoť;Námestovo;Žilinský;Bc. František Poleta;435590215;;obec@novot.sk
Obecná knižnica Radošina;obecná NZ;Stagnujúca;Školská 416;956 05;Radošina;Topoľčany;Nitriansky;JUDr. Marta Koleková;385398184;;ou@radosina.sk
Obecná knižnica Krakovany;obecná NZ;Fungujúca;Sadová ulica 354/19;922 02;Krakovany;Piešťany;Trnavský;PaedDr. Vladimír Mihálik;337798568;;krakovany@krakovany.sk
Obecná knižnica Nolčovo;obecná NZ;Fungujúca;Nolčovo 79;038 54;Nolčovo;Martin;Žilinský;Vladimír Mihalik;434295192;;obecnolcovo@tipnet.sk
Obecná knižnica Krivoklát;obecná NZ;Fungujúca;Krivoklát 77;018 52;Krivoklát;Ilava;Trenčiansky;Mária Prekopová;424492691;;obec.krivoklat@t-network.sk
Obecná knižnica Kotmanová;obecná NZ;Stagnujúca;Kotmanová;985 53;Kotmanová;Lučenec;Banskobystrický;Mária Oravcová;474397109;;obec@kotmanova.sk
Obecná knižnica Hontianska Vrbica;obecná NZ;Fungujúca;Hontianska Vrbica 267;935 55;Hontianska Vrbica;Levice;Nitriansky;Karol Pilinský;367789321;;obecnyurad@hontianskavrbica.sk
Miestna ľudová knižnica Štefanovce;obecná NZ;Fungujúca;Štefanovce 14;082 35;Štefanovce;Prešov;Prešovský;Ing. František Kolarčík;537795134;;stefanovce.po@mail.t-com.sk
Obecná knižnica Husiná;obecná NZ;Stagnujúca;Husiná 157;985 42;Husiná;Rimavská Sobota;Banskobystrický;Zoltán Fodor;475694111;;obechusina@gmail.com
Obecná knižnica Dlžín;obecná NZ;Stagnujúca;Dlžín 70;972 26;Dlžín;Prievidza;Trenčiansky;JUDr. Jozef Štefanec;918511059;;obecdlzin@mail.t-com.sk
Obecná knižnica Rakovo;obecná NZ;Fungujúca;Rakovo 8;038 42;Rakovo;Martin;Žilinský;Patrik Antal;911228993;;obec@rakovo.sk
Obecná knižnica Hrušovo;obecná NZ;Stagnujúca;Hrušovo 39;980 25;Hrušovo;Rimavská Sobota;Banskobystrický;Gizela Ciráková;475690151;;hrusovo.obec@azet.sk
Obecná knižnica Smolinské;obecná NZ;Fungujúca;Smolinské 206;908 42;Smolinské;Senica;Trnavský;MVDr. Peter Betták;346592025;;obecsmolinske@smolinske.sk
Obecná knižnica Liptovská Teplá;obecná NZ;Fungujúca;Liptovská Teplá 143;034 83;Liptovská Teplá;Ružomberok;Žilinský;Vladimír Šimalčík;944009890;;obecliptovskatepla@stonline.sk
Obecná knižnica Hrhov;obecná NZ;Fungujúca;Hrhov 363;049 44;Hrhov;Rožňava;Košický;Ing. Arpád Szepesi;905696066;;obechrhov@mail.t-com.sk
Obecná knižnica Pašková;obecná NZ;Fungujúca;Pašková 66;049 32;Pašková;Rožňava;Košický;Roman Viola;908338035;;obec.paskova@mail.t-com.sk
Obecná knižnica Gerlachov;obecná NZ;Fungujúca;Hlavná 110;059 42;Gerlachov;Poprad;Prešovský;Ing. Michal Ryša;527756203;;ocu@obecgerlachov.sk
Obecná knižnica Dubové;obecná NZ;Fungujúca;Dubové 82;962 61;Dubové;Zvolen;Banskobystrický;Anna Janovicová;455387443;;dubove@stonline.sk
Miestna ľudová knižnica Nitrianske Sučany;obecná NZ;Fungujúca;Nitrianske Sučany 242;972 21;Nitrianske Sučany;Prievidza;Trenčiansky;Mgr. Gabriela Kusa;465490141;;obec@nitrianskesucany.sk
Obecná knižnica Neporadza;obecná NZ;Fungujúca;Neporadza 108;913 26;Neporadza;Trenčín;Trenčiansky;Marián Kopecký;326594016;;ocuneporadza@stonline.sk
Obecná knižnica Dubovany;obecná NZ;Fungujúca;Dubovany 200;922 08;Dubovany;Piešťany;Trnavský;Miroslav Michalčík;915754245;;dubovany@dubovany.sk
Obecná knižnica Mašková;obecná NZ;Fungujúca;Mašková 76;985 11;Mašková;Lučenec;Banskobystrický;Ing. Ivan Kubinec;902740286;;obec.maskova@gmail.com
Obecná knižnica Veľký Cetín;obecná NZ;Fungujúca;Kostolná 1;951 05;Veľký Cetín;Nitra;Nitriansky;Štefan Lužbeťák;911597490;;obecnyurad@velkycetin.sk
Obecná knižnica Madunice;obecná NZ;Stagnujúca;Mad 200;930 14;Mad;Dunajská Streda;Trnavský;Erika Lászlóová;315513126;;obecnyuradmad@mail.t-com.sk
Obecná knižnica Zuberec;obecná NZ;Fungujúca;Hlavná 369;027 32;Zuberec;Tvrdošín;Žilinský;Ing. Vladimír Šiška;435395103;;obec@zuberec.sk
Ľudová knižnica Lentvora;obecná NZ;Stagnujúca;Lentvora 61;985 13;Lentvora;Lučenec;Banskobystrický;Dušan Sudár;474379547;;obeclentvora@centrum.sk
Obecná knižnica Rybník;obecná NZ;Fungujúca;Hlavná 209;935 23;Rybník;Levice;Nitriansky;Ing. Imrich Králik;911995737;;starosta@obecrybnik.sk
Obecná knižnica Cinobaňa;obecná NZ;Fungujúca;Banská ulica 315/1;985 22;Cinobaňa;Poltár;Banskobystrický;Jozef Melicher;907407821;;ocucinobana@cinobana.sk
Obecná knižnica Dojč;obecná NZ;Fungujúca;Dojč 125;906 02;Dojč;Senica;Trnavský;Katarína Jankovičová;911277937;;oudojc@stonline.sk
Obecná knižnica Hrašné;obecná NZ;Fungujúca;Hrašné 3;916 14;Hrašné;Myjava;Trenčiansky;Vladimír Stančík;327790322;;obec.hrasne@gmail.com
Obecná knižnica Teplička nad Váhom;obecná NZ;Fungujúca;Na Majer 63/1;013 01;Teplička nad Váhom;Žilina;Žilinský;Ing. Viliam Mrázik;415982128;;mrazik@teplickanadvahom.sk
Obecná knižnica Súľov - Hradné;obecná NZ;Fungujúca;Súľov - Hradná 65;013 52;Súľov - Hradná;Bytča;Žilinský;Ing. Jaroslav Bušfy;415514016;;urad@sulov-hradna.sk
Obecná knižnica Modrová;obecná NZ;Fungujúca;Modrová 187;916 35;Modrová;Nové Mesto nad Váhom;Trenčiansky;Mgr. Marián Lacko;337785124;;modrova@modrova.eu.sk
Obecná knižnica Rakša;obecná NZ;Fungujúca;Rakša 81;039 01;Rakša;Turčianske Teplice;Žilinský;Anna Ursínyová;910948506;;obecraksa@stonline.sk
Miestna ľudová knižnica Hrubý Šúr;obecná NZ;Fungujúca;Hrubý Šúr 205;903 01;Hrubý Šúr;Senec;Bratislavský;Ing. Ladislav Gujber;904881630;www.hruby-sur.sk;starosta@hruby-sur.sk
Obecná knižnica Kalnište;obecná NZ;Fungujúca;Kalnište 30;087 01;Kalnište;Svidník;Prešovský;František Cauner;547322291;;kalniste@centrum.sk
Obecná knižnica Paňovce;obecná NZ;Fungujúca;Paňovce 95;044 71;Paňovce;Košice - okolie;Košický;Marta Sehnalová;554649325;;obecpanovce@kid.sk
Obecná knižnica Michalová;obecná NZ;Fungujúca;Trosky 1;976 57;Michalová;Brezno;Banskobystrický;Ing. Terézia Tisovčíková;486199157;;oumichalova@michalova.sk
Obecná knižnica Matiašovce;obecná NZ;Fungujúca;Hlavná 74/43;059 04;Matiašovce;Kežmarok;Prešovský;Mgr. Marián Štefaňák;524822016;;matiasovce@matiasovce.sk
Obecná knižnica Nižná;obecná NZ;Fungujúca;Nižná 80;922 06;Nižná;Piešťany;Trnavský;Lenka Mikušová;337788121;;ocunizna@gmail.com
Obecná knižnica Klubina;obecná NZ;Fungujúca;Klubina 67;023 04;Klubina;Čadca;Žilinský;Mgr. Božena Poliačková;918218362;;starosta@klubina.sk
Obecná knižnica Cífer;obecná NZ;Fungujúca;Nám. A. Hlinku 1;919 43;Cífer;Trnava;Trnavský;Mgr. Maroš Sagan, PhD.;904883811;;cifer@cifer.sk
Obecná knižnica Švábovce;obecná NZ;Fungujúca;Švábovce 132;059 12;Švábovce;Poprad;Prešovský;Ing. Ján Mlynár;527793101;;obec.svabovce@stonline.sk
Obecná knižnica Snežnica;obecná NZ;Fungujúca;Snežnica 17;023 32;Snežnica;Kysucké Nové Mesto;Žilinský;Ján Pokrivka;414224179;;obec@sneznica.sk
Obecná knižnica Michaľany;obecná NZ;Fungujúca;Hlavná 108;076 14;Michaľany;Trebišov;Košický;Ing. Daniel Ceran;566702328;www.obecnakniznica@kid.sk;obecmichalany@stonline.sk
Obecná knižnica Vlková;obecná NZ;Fungujúca;Vlková 107;059 72;Vlková;Kežmarok;Prešovský;PhDr. Peter Bendík;524590423;;obecvlkova@stonline.sk
Obecná knižnica Ostrá Lúka;obecná NZ;Fungujúca;Ostrá Lúka 58;962 61;Ostrá Lúka;Zvolen;Banskobystrický;Juraj Jelok;455391124;;ostraluka@stonline.sk
Obecná knižnica Veľký Lipník;obecná NZ;Fungujúca;Veľký Lipník;065 33;Veľký Lipník;Stará Ľubovňa;Prešovský;Ing. Štefan Stempák;911778479;;obec@velkylipnik.sk
Miestna knižnica Mládzovo;obecná NZ;Stagnujúca;Hlavná 49;985 02;Mládzovo;Poltár;Banskobystrický;Miroslav Čičmanec;474486834;;obecmladzovo@gmail.com
Obecná knižnica Kurimany;obecná NZ;Fungujúca;Kurimany 56;054 01;Kurimany;Levoča;Prešovský;Anna Hricová;534512986;;kurimany@levonetmail.sk
Obecná knižnica Šarišské Michaľany;obecná NZ;Fungujúca;Kpt. Nálepku 18;082 22;Šarišské Michaľany;Sabinov;Prešovský;Ing. Vincent Leššo;514582216;;obec@sarisskemichalany.sk
Obecná knižnica Trnovec;obecná NZ;Fungujúca;Trnovec 66;908 51;Trnovec;Skalica;Trnavský;MVDr. Jozef Kotvan;346682308;;trnovec@ehs.sk
Obecná knižnica Koválov;obecná NZ;Fungujúca;Koválov 216;906 03;Koválov;Senica;Trnavský;Pavol Kuba;346536425;;obeckovalov@stonline.sk
Obecná knižnica Ladzany;obecná NZ;Fungujúca;Ladzany 113;962 65;Ladzany;Krupina;Banskobystrický;Miloš Čmela;910211736;;obec@ladzany.sk
Obecná knižnica Richvald;obecná NZ;Fungujúca;Richvald 179;085 01;Richvald;Bardejov;Prešovský;Ing. Anna Foľtová;544881240;;richvald@centrum.sk
Obecná knižnica Horná Lehota;obecná NZ;Fungujúca;Horná Lehota 99;976 81;Horná Lehota;Brezno;Banskobystrický;Vladimír Bušniak;486179360;;hornalehota@brnet.sk
Obecná knižnica Herľany;obecná NZ;Fungujúca;Herľany 54;044 45;Herľany;Košice - okolie;Košický;Jana Tóthová;556964122;;obecherlany@netkosice.sk
Obecná knižnica Králiky;obecná NZ;Stagnujúca;Králiky;976 34;Králiky;Banská Bystrica;Banskobystrický;Ivan Škamla;484197657;;obec@obeckraliky.sk
Obecná knižnica Abrahámovce;obecná NZ;Fungujúca;Abrahámovce 56;059 72;Abrahámovce;Kežmarok;Prešovský;Mgr. Miloš Pitko;524590434;;abrahamovce@aminet.sk
Obecná knižnica Kokošovce;obecná NZ;Fungujúca;Kokošovce 76;082 52;Kokošovce;Prešov;Prešovský;Ing. Vincent Ivanecký;903773115;;obeckokosovce@presnetsk.net
Obecná knižnica Olšovany;obecná NZ;Stagnujúca;Olšovany 35;044 19;Olšovany;Košice - okolie;Košický;František Marcin;556965724;;obecolsovany@netkosice.sk
Obecná knižnica Zábiedovo;obecná NZ;Fungujúca;Malá Strana 76/2;028 01;Zábiedovo;Tvrdošín;Žilinský;Ing. Ján Banovčan;435392653;;zabiedovo@oravanet.sk
Obecná knižnica Pruské;obecná NZ;Fungujúca;Školská 369;018 52;Pruské;Ilava;Trenčiansky;MUDr. Viliam Cíbik;424492647;;obec.pruske@stonline.sk
Obecná knižnica Choňkovce;obecná NZ;Fungujúca;Choňkovce 201;072 63;Choňkovce;Sobrance;Košický;Ján Skyba;566522510;;ouchonkovce@minet.sk
Obecná knižnica Štôla;obecná NZ;Fungujúca;Štôla 29;059 37;Štôla;Poprad;Prešovský;Martin Hajko;527894891;;obustola@sinet.sk
Obecná knižnica Mlynčeky;obecná NZ;Fungujúca;Mlynčeky 99;059 76;Mlynčeky;Kežmarok;Prešovský;Milena Svocáková;524522617;;mlynceky@mlynceky.sk
Obecná knižnica Horná Mičiná;obecná NZ;Stagnujúca;Horná Mičiná;974 01;Horná Mičiná;Banská Bystrica;Banskobystrický;Miloš Klibani;484180923;;hornamicina@gmail.com
Obecná knižnica Prietržka;obecná NZ;Fungujúca;Prietržka 57;908 49;Prietržka;Skalica;Trnavský;Rudolf Bartal;346682284;;obec.prietrzka@ltcnet.sk
Obecná knižnica Patince;obecná NZ;Fungujúca;Hlavná 49;946 39;Patince;Komárno;Nitriansky;JUDr. Olga Szabó;357787632;;obecpatince@mail.t-com.sk
Obecná knižnica Mužla;obecná NZ;Stagnujúca;Mužla 711;943 52;Mužla;Nové Zámky;Nitriansky;Ing. Károly Drapák;367583102;;farkasivan@muzla.sk
Obecná knižnica Fiľakovské Kováče;obecná NZ;Fungujúca;Fiľakovské Kováče 275;986 01;Fiľakovské Kováče;Lučenec;Banskobystrický;Oto Agócs;474380233;;filakovce@post.sk
Miestna ľudová knižnica Hermanovce nad Topľou;obecná NZ;Fungujúca;Hermanovce nad Topľou 195;094 34;Hermanovce nad Topľou;Vranov nad Topľou;Prešovský;Ing. Ján Krivák;574492637;;ocu.hermanovcent@gmail.com
Obecná knižnica Kľúčovec;obecná NZ;Stagnujúca;Kľúčovec 37;930 07;Kľúčovec;Dunajská Streda;Trnavský;Tibor Both;315541236;;ouklucovec@panelnet.sk
Obecná knižnica Pača;obecná NZ;Fungujúca;Hlavná 14;049 41;Pača;Rožňava;Košický;Ladislav Zagiba;587883020;;obec.paca@centrum.sk
Obecná knižnica Dolné Mladonice;obecná NZ;Fungujúca;Dolné Mladonice 3;962 41;Dolné Mladonice;Krupina;Banskobystrický;Eduard Roganský;918258385;;ocudm@stonline.sk
Obecná knižnica Brezina;obecná NZ;Fungujúca;Brezová 151/32;076 12;Brezina;Trebišov;Košický;Magdaléna Balogová;566791232;;brezina@oubrezina.sk
Obecná knižnica Výčapy - Opatovce;obecná NZ;Fungujúca;Výčapy - Opatovce 204;951 44;Výčapy - Opatovce;Nitra;Nitriansky;Ing. Jozef Holúbek;908122705;;starosta@vycapy-opatovce.sk
Obecná knižnica Malý Horeš;obecná NZ;Fungujúca;Družstevná 233/33;076 52;Malý Horeš;Trebišov;Košický;Csaba Furik;566285370;;malyhores@dornet.sk
Obecná knižnica Hontianske Trsťany;obecná NZ;Fungujúca;Hontianske Trsťany 27;935 86;Hontianske Trsťany;Levice;Nitriansky;JUDr. Jozef Gálus;366323121;;hont.trstany@mail.t-com.sk
Obecná knižnica Veľké Revištia;obecná NZ;Fungujúca;Veľké Revišitia 65;072 43;Veľké Revištia;Sobrance;Košický;Bc. Martin Hrunka;917950500;;ocu.vr25@gmail.com
Obecná knižnica Stará Halič;obecná NZ;Fungujúca;Zavoda 116/49;985 11;Stará Halič;Lučenec;Banskobystrický;Ing. Jozef Gembec;474392331;;podatelna@starahalic.sk
Obecná knižnica Kolta;obecná NZ;Fungujúca;Kolta 1;941 33;Kolta;Nové Zámky;Nitriansky;Ida Krnčanová;903526460;;obeckolta@stonline.sk
Obecná knižnica Slovany;obecná NZ;Fungujúca;Slovany 102;038 43;Slovany;Martin;Žilinský;Elena Jackulíková;434933195;;obecslovany@etelmail.sk
Obecná knižnica Kuraľany;obecná NZ;Fungujúca;Hlavná 1;935 64;Kuraľany;Levice;Nitriansky;Ing. Dušan Mésároš;367736124;;starosta@kuralany.sk
Obecná knižnica Horné Otrokovice;obecná NZ;Fungujúca;Horné Otrokovce 146;920 62;Horné Otrokovce;Hlohovec;Trnavský;Mgr. Eva Kukučková;337446101;;ocu.h.otrokovce@stonline.sk
Miestna ľudová knižnica pri OcÚ Rovensko;obecná NZ;Fungujúca;Rovensko 146;905 01;Rovensko;Senica;Trnavský;Ing. Marian Rehuš;346511125;;rovensko@rovensko.sk
Obecná knižnica Jurová;obecná NZ;Fungujúca;Jurová 85;930 04;Jurová;Dunajská Streda;Trnavský;Ladislav Matuška;315597209;;obecjurova@stonline.sk
Obecná knižnica Nižná Voľa;obecná NZ;Fungujúca;Nižná Voľa 30;086 21;Nižná Voľa;Bardejov;Prešovský;Ing. Marcel Kaščák;905836055;;obecniznavola@centrum.sk
Obecná knižnica Selec;obecná NZ;Fungujúca;Selec 73;913 36;Selec;Trenčín;Trenčiansky;MVDr. Stanislav Svatik;326496834;;info@selec.sk
Miestna ľudová knižnica Veľké Kršteňany;obecná NZ;Fungujúca;Veľké Kršteňany 145;958 03;Veľké Kršteňany;Partizánske;Trenčiansky;Marian Staňo;387485138;;velkekrstenany@stonline.sk
Obecná knižnica Habura;obecná NZ;Stagnujúca;Habura 63;067 52;Habura;Medzilaborce;Prešovský;Mikuláš Juščík;905294249;;ocuhabura@centrum.sk
Obecná knižnica Šintava;obecná NZ;Fungujúca;Šintava;925 51;Šintava;Galanta;Trnavský;Miroslav Holička;902118820;;obec@sintava.sk
Obecná knižnica Muráň;obecná NZ;Fungujúca;Muráň 329;049 01;Muráň;Revúca;Banskobystrický;Ing. Roman Goldschmidt;918590237;;obec@muran.sk
Obecná knižnica Sokoľany;obecná NZ;Fungujúca;Sokoľany 193;044 57;Sokoľany;Košice - okolie;Košický;Ing. Tomáš Suchý;949690927;;kancelaria@netkosice.sk
Obecná knižnica Kamenný Most;obecná NZ;Fungujúca;Hlavná 29;943 58;Kamenný Most;Nové Zámky;Nitriansky;Ladislav Magát;919283983;;starosta@kamenny-most.sk
Obecná knižnica Turany;obecná NZ;Fungujúca;Komenského 1120;038 53;Turany;Martin;Žilinský;Ing. Miroslav Blahušiak;434292400;;obecturany@centrum.sk
Obecná knižnica Porúbka;obecná NZ;Stagnujúca;Porúbka 67;086 12;Porúbka;Bardejov;Prešovský;Ing. Milan Staš;903897350;;obecporubka@gmail.com
Obecná knižnica Čierna Voda;obecná NZ;Fungujúca;Čierna Voda 102;925 06;Čierna Voda;Galanta;Trnavský;Mgr. Zuzana Csadyová;317848297;;ciernavoda@ciernavoda-nyek.sk
Obecná knižnica Ražňany;obecná NZ;Fungujúca;Ražňany 235;082 61;Ražňany;Sabinov;Prešovský;Radovan Rokošný;908397528;;raznany@raznany.sk
Obecná knižnica Liptovské Sliače;obecná NZ;Fungujúca;Seč 635/2;034 84;Liptovské Sliače;Ružomberok;Žilinský;Ján Ondrejka;908108839;;urad@liptovskesliace.sk
Obecná knižnica Malé Kršteňany;obecná NZ;Fungujúca;Malé Kršteňany 105;958 03;Malé Kršteňany;Partizánske;Trenčiansky;Jaroslav Kopál;387485210;;malekrstenany@gmail.com
Obecná knižnica Malé Ozorovce;obecná NZ;Fungujúca;Hlavná 108/29;078 01;Malé Ozorovce;Trebišov;Košický;Mgr. Milan Dolák, LL.M;566789305;;mozorovce@slovanet.sk
Obecná knižnica Veľký Slavkov;obecná NZ;Fungujúca;Ul. Kpt. Morávku 117;059 91;Veľký Slavkov;Poprad;Prešovský;František Šáry;905838708;;obec@velkyslavkov.sk
Obecná knižnica Pusté Úľany;obecná NZ;Fungujúca;Hlavná 91/208;925 28;Pusté Úľany;Galanta;Trnavský;Ing. Drahotína Šimeková  ;910949622;;ou@pusteulany.sk
Obecná knižnica Plavecký Peter;obecná NZ;Fungujúca;Plavecký Peter 137;906 35;Plavecký Peter;Senica;Trnavský;Viera Kollárová;346539125;;starosta@plaveckypeter.sk
Obecná knižnica Medveďov;obecná NZ;Fungujúca;Hlavná 90;930 07;Medveďov;Dunajská Streda;Trnavský;Ladislav Morva;908609602;;ocumedvedov@stonline.sk
Miestna ľudová knižnica Krásna Lúka;obecná NZ;Stagnujúca;Krásna Lúka 138;082 73;Krásna Lúka;Sabinov;Prešovský;Ing. Štefan Bujňák;514597237;;oukrasnaluka@centrum.sk
Obecná knižnica Spišské Hanušovce;obecná NZ;Fungujúca;Spišské Hanušovce 97;059 04;Spišské Hanušovce;Kežmarok;Prešovský;Ing. Jozef Dudžák;524181421;;obec@spisskehanusovce.sk
Obecná knižnica Demjata;obecná NZ;Fungujúca;Demjata 57;082 13;Demjata;Prešov;Prešovský;Ing. Vladislav Bašista;517789247;;demjataobec@gmail.com
Obecná knižnica Oravská Polhora;obecná NZ;Fungujúca;Oravská Polhora 454;029 47;Oravská Polhora;Námestovo;Žilinský;Ing. Peter Horváth;902523797;;starosta@oravskapolhora.sk
Obecná knižnica Sečovská Polianka;obecná NZ;Fungujúca;Hlavná 132/135;094 14;Sečovská Polianka;Vranov nad Topľou;Prešovský;MVDr. Marián Fedor;574882080;;obecspolianka@gmail.com
Miestna ľudová knižnica Jazernica;obecná NZ;Fungujúca;Jazernica 51;038 44;Jazernica;Turčianske Teplice;Žilinský;Jaroslav Marek;903969375;;jazernica@gaya.sk
Miestna ľudová knižnica Horná Streda;obecná NZ;Fungujúca;Horná Streda 407;916 24;Horná Streda;Nové Mesto nad Váhom;Trenčiansky;Ľubomír Krajňanský;327773233;;starosta@hornastreda.sk
Obecná knižnica Trstená na Ostrove;obecná NZ;Fungujúca;Trstená na Ostrove 20;930 04;Trstená na Ostrove;Dunajská Streda;Trnavský;Helena Lelkesová;315547122;www.trstenanaostrove.ocu.sk;ocutrstenano@stonline.sk
Obecná knižnica Rudník;obecná NZ;Fungujúca;Rudník 1;906 23;Rudník;Myjava;Trenčiansky;Bc. Jaroslav Ferianec;346215620;;obec@rudnik.sk
Obecná knižnica Trstín;obecná NZ;Fungujúca;Trstín 95;919 05;Trstín;Trnava;Trnavský;Marta Genčúrová;335589262;;outrstin@slovanet.sk
Obecná knižnica Honce;obecná NZ;Stagnujúca;Honce 54;049 32;Honce;Rožňava;Košický;Monika Paličková;587883590;;obec.honce@gmail.com
Obecná knižnica Bellova Ves;obecná NZ;Fungujúca;Bellova Ves 75;930 52;Bellova Ves;Dunajská Streda;Trnavský;Anna Baloghová;315587126;;obecbellova@stonline.sk
Obecná knižnica Rajecká Lesná;obecná NZ;Fungujúca;Rajecká Lesná 81;013 15;Rajecká Lesná;Žilina;Žilinský;Ing. Peter Tarábek;415424748;;info@rajeckalesna.info
Obecná knižnica Duplín;obecná NZ;Fungujúca;Duplín 66;090 01;Duplín;Stropkov;Prešovský;Jozef Potoma;902206399;;obecdupl@stonline.sk
Obecná knižnica Východná;obecná NZ;Fungujúca;Východná 616;032 32;Východná;Liptovský Mikuláš;Žilinský;Mgr. Anna Tarageľová;445295251;;mksvychodna@gmail.com
Obecná knižnica Jalšové;obecná NZ;Fungujúca;Jalšové 148;922 31;Jalšové;Hlohovec;Trnavský;Emília Živčáková;337330065;;obec.jalsove@mail.t-com.sk
Miestna ľudová knižnica Čataj;obecná NZ;Fungujúca;Čataj 333;900 83;Čatej;Senec;Bratislavský;Jozef Čič;911568328;;starosta@cataj.sk
Obecná knižnica Podhoroď;obecná NZ;Fungujúca;Podhoroď 112;072 64;Podhoroď;Sobrance;Košický;Ing. Jaroslav Mihaľov;911928626;;podhorod@podhorod.sk
Obecná knižnica Hnilčík;obecná NZ;Fungujúca;Hnilčík 38;053 32;Hnilčík;Spišská Nová Ves;Košický;Vladimír Fabian;534494103;;hnilcik@stonline.sk
Obecná knižnica Jahodná;obecná NZ;Fungujúca;Hlavná 382;930 21;Jahodná;Dunajská Streda;Trnavský;Ing. Jarmila Csiba;315591159;;starosta@obecjahodna.sk
Obecná knižnica Horné Záhorany;obecná NZ;Stagnujúca;Horné Zahorany 78;980 26;Horné Zahorany;Rimavská Sobota;Banskobystrický;Ing. Zuzana Vysokaiová;904456797;;ocu.hornezahorany@centrum.sk
Obecná knižnica Jablonec;obecná NZ;Fungujúca;Jablonec 206;900 87;Jablonec;Pezinok;Bratislavský;Ján Podmanický;904830793;;starosta@jablonec.sk
Obecná knižnica Fintice;obecná NZ;Fungujúca;Grófske nádvorie 210/1;082 16;Fintice;Prešov;Prešovský;Mgr. Terézia Gmitrová;517481010;;oufintice@hotmail.com
Obecná knižnica Drnava;obecná NZ;Fungujúca;Drnava 149;049 42;Drnava;Rožňava;Košický;Helena Ulbriková;587971112;;obec.drnava@centrum.sk
Obecná knižnica Čiližská Radvaň;obecná NZ;Fungujúca;Čilizská Radvaň 51;930 08;Čiližská Radvaň;Dunajská Streda;Trnavský;István Csikász;902162459;;obec.radvan@gmail.com
Miestna ľudová knižnica Klenovec;obecná NZ;Fungujúca;Nám. K. Salvu 1;980 55;Klenovec;Rimavská Sobota;Banskobystrický;Mgr. Zlata Kaštanová;475484305;;kastanova.z@klenovec.sk
Obecná knižnica Vrbovce;obecná NZ;Fungujúca;Vrbovce 147;906 06;Vrbovce;Myjava;Trenčiansky;Ing. Samuel Redecha;911555745;;vrbovce.urad@vrbovce.sk
Obecná knižnica Plavé Vozokany;obecná NZ;Fungujúca;Plavé Vozokany 319;935 69;Plavé Vozokany;Levice;Nitriansky;Štefan Gemeri;948459955;;plave.vozokany@nextra.sk
Obecná knižnica Slopná;obecná NZ;Fungujúca;Slopná 159;018 21;Slopná;Považská Bystrica;Trenčiansky;Mgr. Eva Košaríková;424353162;;obec@slopna.sk
Miestna ľudová knižnica Vojany;obecná NZ;Fungujúca;Vojany 72;076 72;Vojany;Michalovce;Košický;Štefan Czinke;566281096;;ouv@centrum.sk
Miestna ľudová knižnica Podhradík;obecná NZ;Fungujúca;Podhradík 82;080 06;Podhradík;Prešov;Prešovský;Ing. Ladislav Stanek;517765808;;obecpodhradik@gmail.com
Obecná knižnica Rudinská;obecná NZ;Fungujúca;Rudinská 125;023 31;Rudinská;Kysucké Nové Mesto;Žilinský;Ing. Jozef Svirík;91587863;;starosta@rudinska.sk
Obecná knižnica Sirník;obecná NZ;Fungujúca;Hlavná 152/21;076 03;Sirník;Trebišov;Košický;Viktor Kalán;566790279;;obecsirnik@trenet.sk
Obecná knižnica Tovarné;obecná NZ;Fungujúca;Tovarné 4;094 01;Tovarné;Vranov nad Topľou;Prešovský;PaedDr. Kvetoslava Mižáková;574495231;;ocu.tovarne@mail.t-com.sk
